Length,Weight,Fec,SC,Year
294,166,13553,Spring,1970s
328,252,36838,Spring,1970s
327,275,37767,Spring,1970s
320,293,130268,Fall,1970s
354,397,112724,Fall,1970s
348,359,132920,Fall,1970s
344,341,67386,Fall,1970s
329,321,63194,Fall,1970s
338,334,67243,Fall,1970s
325,305,70298,Fall,1970s
335,294,71369,Fall,1970s
350,323,86053,Fall,1970s
351,291,36772,Fall,1970s
355,280,22393,Fall,1970s
375,472,85872,Fall,1970s
359,349,86621,Fall,1970s
304,240,64895,Fall,1970s
327,322,62601,Fall,1970s
343,334,69766,Fall,1970s
346,353,96246,Fall,1970s
317,256,73948,Fall,1970s
350,350,79897,Fall,1970s
327,341,54738,Fall,1970s
348,331,80722,Fall,1970s
352,328,95059,Fall,1970s
320,246,50494,Fall,1970s
316,282,70858,Fall,1970s
355,365,111928,Fall,1970s
366,351,94433,Fall,1970s
336,344,51037,Fall,1970s
353,441,109024,Fall,1970s
337,331,93839,Fall,1970s
311,244,61195,Fall,1970s
363,352,67777,Fall,1970s
352,314,57516,Fall,1970s
296,216,81541,Fall,1970s
352,343,43114,Fall,1970s
300,204,36963,Fall,1970s
305,210,60841,Fall,1970s
311,282,41160,Fall,1970s
325,328,68783,Fall,1970s
363,367,54857,Fall,1970s
333,328,125249,Fall,1970s
367,348,132405,Fall,1970s
342,344,75800,Fall,1970s
311,232,78924,Fall,1970s
355,418,117100,Fall,1970s
332,354,44644,Fall,1970s
337,322,99192,Fall,1970s
340,311,140614,Fall,1970s
297,208,42498,Fall,1970s
360,373,78108,Fall,1970s
327,253,70646,Fall,1970s
310,255,69345,Fall,1970s
318,268,70907,Fall,1970s
346,230,51130,Fall,1970s
336,290,83181,Fall,1970s
318,276,42372,Fall,1970s
304,244,67225,Fall,1970s
285,202,47663,Fall,1970s
353,340,93446,Fall,1970s
328,257,71522,Fall,1970s
309,240,64050,Fall,1970s
342,285,73939,Fall,1970s
305,212,76120,Fall,1970s
317,276,74749,Fall,1970s
307,227,72056,Fall,1970s
345,319,59917,Fall,1970s
317,245,58943,Fall,1970s
321,292,100121,Fall,1970s
294,173,30805,Spring,1970s
289,176,52434,Spring,1970s
335,328,88802,Spring,1970s
277,166,40846,Spring,1970s
321,269,87918,Spring,1970s
299,197,43939,Spring,1970s
315,226,45080,Spring,1970s
323,270,61054,Spring,1970s
324,253,54738,Spring,1970s
274,164,38214,Spring,1970s
353,460,225398,Fall,1970s
339,364,204824,Fall,1970s
328,326,167831,Fall,1970s
332,342,144525,Fall,1970s
317,301,120055,Fall,1970s
338,349,170427,Fall,1970s
324,297,161245,Fall,1970s
348,386,197030,Fall,1970s
328,348,139308,Fall,1970s
331,332,187106,Fall,1970s
356,377,208261,Fall,1970s
316,277,104600,Fall,1970s
331,291,89884,Fall,1970s
319,271,158407,Fall,1970s
328,311,113792,Fall,1970s
323,303,117786,Fall,1970s
308,247,92349,Fall,1970s
354,360,119097,Fall,1970s
299,241,92331,Fall,1970s
326,336,137019,Fall,1970s
318,275,114783,Fall,1970s
328,329,159640,Fall,1970s
324,276,108223,Fall,1970s
337,307,73369,Fall,1970s
312,258,115940,Fall,1970s
304,251,84960,Fall,1970s
346,371,189003,Fall,1970s
349,394,158113,Fall,1970s
314,263,89300,Fall,1970s
307,234,55518,Fall,1970s
339,351,180489,Fall,1970s
313,280,124571,Fall,1970s
354,393,137743,Fall,1970s
346,345,114028,Fall,1970s
314,287,48308,Fall,1970s
346,386,60560,Fall,1970s
332,269,123945,Fall,1970s
339,354,167898,Fall,1970s
307,246,78286,Fall,1970s
312,259,89414,Fall,1970s
327,340,113475,Fall,1970s
348,342,87770,Fall,1970s
354,336,93421,Fall,1970s
293,222,70185,Fall,1970s
340,372,142729,Fall,1970s
318,288,46249,Fall,1970s
340,366,49825,Fall,1970s
323,254,40433,Fall,1970s
310,249,87426,Fall,1970s
334,318,115628,Fall,1970s
347,343,95318,Fall,1970s
290,205,94780,Fall,1970s
302,247,75458,Fall,1970s
,,138328,Fall,1970s
346,329,67666,Fall,1970s
330,351,182898,Fall,1970s
